BarcodeID,Timepoint,Group,BeforeAfter,Type,SampleLocation,Condition,SampleMass,PlateID,SampleWell,Animal,PerturbationType,Include,DoseInclude,scale_factor,HS_fluorescence,HS_dna_concentration,BR_fluorescence,BR_dna_concentration,dna_concentration,dye_used,total_dna,microbial_density,X16S_possible,vol_needed_for_PCR,water_volume_up_PCR,metagenomics_possible,vol_needed_for_metagenomics,water_volume_up_metagenomics,ReaderWell,Fluorescence,Experiment,qubit_volume,DoseGroup,DoseCompare,Experiment_ID,Sample_ID,Date,Cage,Sex,TubeBarcode,Full Mass,Full Weight Date,Full Weight Time,Empty Mass,Empty Weight Date,Empty Weight Time,Class,Other
EMP2|0FP-1a|100614|jmakl,0,Clindamycin,Before,Experiment,Feces,Baseline,18.22,EMP2_Cage12,A01,NA,Antibiotic,Yes,No,1,5548.04,115.17316325145993,7941,19.411737823362646,67.29245053741128,Average,6.729245053741129,0.369332878910051,TRUE,5.944203202670108,194.0557967973299,TRUE,9.287817504172045,15.712182495827955,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-1b|100614|5sjH4,0,Clindamycin,Before,Experiment,Feces,Baseline,20.4,EMP2_Cage12,A02,NA,Antibiotic,Yes,No,1,4631.95,94.3026964837944,6628,22.887050919933206,58.594873701863804,Average,5.859487370186381,0.287229773048352,TRUE,6.826535748421225,193.17346425157876,TRUE,10.666462106908165,14.333537893091835,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-1c|100614|A1Kfq,0,Clindamycin,Before,Experiment,Feces,Baseline,30.11,EMP2_Cage12,A03,NA,Antibiotic,Yes,No,1,8566.12,183.93140571907333,10212,13.40074312243977,98.66607442075654,Average,9.866607442075654,0.32768540159666737,TRUE,4.054078388628496,195.94592161137152,TRUE,6.334497482232026,18.665502517767976,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-1d|100614|OVnnf,0,Clindamycin,Before,Experiment,Feces,Baseline,27.46,EMP2_Cage12,A04,NA,Antibiotic,Yes,No,1,6510.56,137.1014035697839,10053,13.821592156982586,75.46149786338324,Average,7.546149786338325,0.274805163377215,TRUE,5.300716409369009,194.69928359063098,TRUE,8.282369389639078,16.71763061036092,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-1e|100614|vmbHp,0,Clindamycin,Before,Experiment,Feces,Baseline,19.44,EMP2_Cage12,A05,NA,Antibiotic,Yes,No,1,3413.44,66.5424628156307,9565,15.113254602623435,66.5424628156307,HS,6.65424628156307,0.3422966194219686,TRUE,6.01119921137095,193.98880078862905,TRUE,9.392498767767108,15.607501232232892,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-2a|100614|o5QPP,0,Bismuth Subsalicylate,Before,Experiment,Feces,Baseline,24.5,EMP2_Cage12,A06,NA,Antibiotic,Yes,No,1,5267.61,108.78437503670325,9452,15.412348570568959,62.09836180363611,Average,6.209836180363611,0.25346270123933107,TRUE,6.441393756325765,193.55860624367423,TRUE,10.064677744259008,14.935322255740992,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-2b|100614|tu6Xm,0,Bismuth Subsalicylate,Before,Experiment,Feces,Baseline,48.55,EMP2_Cage12,A07,NA,Antibiotic,Yes,No,1,15610.2,344.4104389459149,10517,12.59345409391424,178.50194651991458,Average,17.85019465199146,0.367666213223305,TRUE,2.2408719221186417,197.75912807788137,TRUE,3.501362378310378,21.49863762168962,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-2c|100614|gtGfP,0,Bismuth Subsalicylate,Before,Experiment,Feces,Baseline,20.06,EMP2_Cage12,A08,NA,Antibiotic,Yes,No,1,3901.46,77.66059006508885,8517,17.88715264162263,47.773871353355744,Average,4.777387135335575,0.23815489209050722,TRUE,8.372777601409584,191.62722239859042,TRUE,13.082465002202477,11.917534997797523,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-2d|100614|gW5sz,0,Bismuth Subsalicylate,Before,Experiment,Feces,Baseline,32.12,EMP2_Cage12,A09,NA,Antibiotic,Yes,No,1,6020.61,125.9393068404039,9409,15.526163089344688,70.7327349648743,Average,7.07327349648743,0.22021399428665725,TRUE,5.655090252040148,194.34490974795986,TRUE,8.836078518812732,16.163921481187266,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
EMP2|0FP-2e|100614|dslCJ,0,Bismuth Subsalicylate,Before,Experiment,Feces,Baseline,31.8,EMP2_Cage12,A10,NA,Antibiotic,Yes,No,1,7586.31,161.60926265056875,10067,13.784536267148628,87.6968994588587,Average,8.76968994588587,0.2757764133926374,TRUE,4.561164675926226,195.43883532407378,TRUE,7.126819806134727,17.873180193865274,NA,NA,Abx_Batch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"NA",NA,NA
